cardId,name,cardSet,type,rarity,mechanics_list,mechanics_count,playerClass,faction,cost,health,attack,collectible,race,artist,text,flavor,locale
CRED_33,Jomaro Kindred,Credits,Minion,Legendary,,0,,,6,6,7,,,,<b>Battlecry:</b> TAKE any cards from your opponent's hand that they don't want.,,enUS
CRED_45,Jonas Laster,Credits,Minion,Legendary,,0,,,6,6,6,,,,"Whenever a <b>Silenced</b> minion dies, gain +1/+1.",,enUS
CRED_36,Mike Donais,Credits,Minion,Legendary,,0,,,6,8,4,,,,"<b>Battlecry:</b> Replace all minions in the battlefield, in both hands, and in both decks with random minions.",,enUS
CRED_24,Dean Ayala,Credits,Minion,Legendary,,0,,,7,5,7,,,,You can't lose stars while this is in your deck.,,enUS
CRED_16,Hamilton Chu,Credits,Minion,Legendary,,0,,,7,5,9,,,,<i>Was successfully NOT part of the problem! ...most of the time.</i>,,enUS
CRED_30,JC Park,Credits,Minion,Legendary,,0,,,7,4,2,,,,<b>Battlecry:</b> Add a new platform for Hearthstone.,,enUS
CRED_17,Rob Pardo,Credits,Minion,Legendary,,0,,,9,9,9,,,,You can't start a game without this minion in your deck.,,enUS
CRED_13,Brian Schwab,Credits,Minion,Legendary,,0,,,10,10,10,,,,"At the end of your turn, give a random minion +1 Attack.",,enUS
TU4c_006e,Bananas,Missions,Enchantment,,,0,,,,,,,,,This minion has +1/+1. <i>(+1 Attack/+1 Health)</i>,,enUS
TU4d_001,Hemet Nesingwary,Missions,Hero,Common,,0,Hunter,,,20,,,,,,,enUS
TU4a_001,Hogger,Missions,Hero,Common,,0,,,,10,,,,,,,enUS
TU4e_001,Illidan Stormrage,Missions,Hero,,,0,Hunter,,,30,,,,,,,enUS
TU4a_006,Jaina Proudmoore,Missions,Hero,Common,,0,Mage,,,30,,,,,,,enUS
TU4c_001,King Mukla,Missions,Hero,Common,,0,,,,26,,,,,,,enUS
TU4f_004o,Legacy of the Emperor,Missions,Enchantment,,,0,,,,,,,,,Has +2/+2. <i>(+2 Attack/+2 Health)</i>,,enUS
TU4f_001,Lorewalker Cho,Missions,Hero,,,0,,,,25,,,,,,,enUS
TU4c_008e,Might of Mukla,Missions,Enchantment,,OneTurnEffect,1,,,,,,,,,King Mukla has +8 Attack this turn.,,enUS
TU4b_001,Millhouse Manastorm,Missions,Hero,Common,,0,Mage,,,20,,,,,,,enUS
TU4f_006o,Transcendence,Missions,Enchantment,,,0,,,,,,,,,"Until you kill Cho's minions, he can't be attacked.",,enUS
TU4c_003,Barrel,Missions,Minion,Common,Deathrattle,1,,Neutral,0,2,,,,,Is something in this barrel?,,enUS
TU4c_006,Bananas,Missions,Spell,Common,,0,,Neutral,1,,,,,,Give a friendly minion +1/+1. <i>(+1 Attack/+1 Health)</i>,,enUS
TU4c_002,Barrel Toss,Missions,Spell,Common,,0,,Neutral,1,,,,,,Deal 2 damage.,,enUS
TU4d_002,Crazed Hunter,Missions,Minion,Common,,0,,,1,1,1,,,,,,enUS
TU4f_007,Crazy Monkey,Missions,Minion,Common,Battlecry,1,,,1,2,1,,,,<b>Battlecry:</b> Throw Bananas.,,enUS
TU4e_002t,Flame of Azzinoth,Missions,Minion,Common,,0,,,1,1,2,,,,,,enUS
TU4a_003,Gnoll,Missions,Minion,Common,,0,,,1,1,1,,,,,,enUS
TU4e_003,Naga Myrmidon,Missions,Minion,Common,,0,,,1,1,1,,,,<b></b> ,,enUS
TU4f_002,Pandaren Scout,Missions,Minion,Common,,0,,,1,1,1,,,,,,enUS
TU4a_002,Riverpaw Gnoll,Missions,Minion,Common,,0,,,1,1,2,,,,,,enUS
TU4f_006,Transcendence,Missions,Spell,Common,,0,,,1,,,,,,"Until you kill Cho's minions, he can't be attacked.",,enUS
TU4e_002,Flames of Azzinoth,Missions,Hero Power,,,0,,,2,,,,,,"<b>Hero Power</b>
Summon two 2/1 minions.",,enUS
TU4c_005,Hidden Gnome,Missions,Minion,Common,,0,,Neutral,2,3,1,,,,Was hiding in a barrel!,,enUS
TU4f_003,Shado-Pan Monk,Missions,Minion,Common,,0,,,2,2,2,,,,,,enUS
TU4d_003,Shotgun Blast,Missions,Hero Power,Common,,0,Hunter,,2,,,,,,"<b>Hero Power</b>
Deal 1 damage.",,enUS
TU4c_004,Stomp,Missions,Spell,Common,,0,,Neutral,2,,,,,,Deal 2 damage to all enemies.,,enUS
TU4e_004,Warglaive of Azzinoth,Missions,Weapon,Common,,0,,,2,,2,,,,,,enUS
TU4e_005,Flame Burst,Missions,Spell,Common,,0,,,3,,,,,,Shoot 5 missiles at random enemies for $1 damage each.,,enUS
TU4a_004,Hogger SMASH!,Missions,Spell,Common,,0,,,3,,,,,,Deal 4 damage.,,enUS
TU4f_004,Legacy of the Emperor,Missions,Spell,Common,,0,,,3,,,,,,Give your minions +2/+2. <i>(+2 Attack/+2 Health)</i>,,enUS
TU4c_008,Will of Mukla,Missions,Spell,Common,,0,,,3,,,,,,Restore 8 Health.,,enUS
TU4f_005,Brewmaster,Missions,Minion,Common,,0,,,4,4,4,,,,,,enUS
TU4a_005,Massive Gnoll,Missions,Minion,Common,,0,,,4,2,5,,,,,,enUS
TU4e_007,Dual Warglaives,Missions,Weapon,Common,,0,,,6,,4,,,,,,enUS
TU4c_007,Mukla's Big Brother,Missions,Minion,Common,,0,,,6,10,10,,,,So strong! And only 6 Mana?!,,enUS
CS2_188o,'Inspired',Classic,Enchantment,,OneTurnEffect,1,,,,,,,,,This minion has +2 Attack this turn.,,enUS
EX1_561e,Alexstrasza's Fire,Classic,Enchantment,,,0,,,,,,,,,Health set to 15.,,enUS
CS2_038e,Ancestral Spirit,Classic,Enchantment,,,0,Shaman,,,,,,,,<b>Deathrattle:</b> Resummon this minion.,,enUS
NEW1_008b,Ancient Secrets,Classic,Spell,,,0,Druid,,,,,,,,Restore 5 Health.,,enUS
NEW1_008a,Ancient Teachings,Classic,Spell,,,0,Druid,,,,,,,,Draw a card.,,enUS
EX1_014te,Bananas,Classic,Enchantment,,,0,,,,,,,,,Has +1/+1.,,enUS
EX1_165b,Bear Form,Classic,Spell,Common,,0,Druid,Neutral,,,,,,,+2 Health and <b>Taunt</b>.,,enUS
EX1_604o,Berserk,Classic,Enchantment,,,0,Warrior,,,,,,,,Increased Attack.,,enUS
EX1_549o,Bestial Wrath,Classic,Enchantment,,OneTurnEffect,1,Hunter,,,,,,,,+2 Attack and <b>Immune</b> this turn.,,enUS
EX1_570e,Bite,Classic,Enchantment,,OneTurnEffect,1,,,,,,,,,+4 Attack this turn.,,enUS
EX1_509e,Blarghghl,Classic,Enchantment,,,0,,,,,,,,,Increased Attack.,,enUS
EX1_355e,Blessed Champion,Classic,Enchantment,,,0,Paladin,,,,,,,,This minion's Attack has been doubled.,,enUS
EX1_363e,Blessing of Wisdom,Classic,Enchantment,,,0,Paladin,,,,,,,,"When this minion attacks, the player who blessed it draws a card.",,enUS
EX1_363e2,Blessing of Wisdom,Classic,Enchantment,,,0,Paladin,,,,,,,,"When this minion attacks, the enemy player draws a card.",,enUS
CS2_059o,Blood Pact,Classic,Enchantment,,,0,Warlock,,,,,,,,Increased Health.,,enUS
EX1_411e,Bloodrage,Classic,Enchantment,,,0,Warrior,,,,,,,,No durability loss.,,enUS
NEW1_025e,Bolstered,Classic,Enchantment,,,0,,,,,,,,,Increased Health.,,enUS
tt_004o,Cannibalize,Classic,Enchantment,,,0,,,,,,,,,Increased Attack.,,enUS
EX1_165a,Cat Form,Classic,Spell,Common,,0,Druid,Neutral,,,,,,,<b>Charge</b>,,enUS
CS2_073e,Cold Blood,Classic,Enchantment,,,0,Rogue,,,,,,,,+2 Attack.,,enUS
CS2_073e2,Cold Blood,Classic,Enchantment,,,0,Rogue,,,,,,,,+4 Attack.,,enUS
NEW1_036e,Commanding Shout,Classic,Enchantment,,OneTurnEffect,1,Warrior,,,,,,,,Can't be reduced below 1 Health this turn.,,enUS
NEW1_036e2,Commanding Shout,Classic,Enchantment,,OneTurnEffect,1,Warrior,,,,,,,,Your minions can't be reduced below 1 Health this turn.,,enUS
EX1_128e,Concealed,Classic,Enchantment,,,0,Rogue,,,,,,,,Stealthed until your next turn.,,enUS
EX1_304e,Consume,Classic,Enchantment,,,0,Warlock,,,,,,,,Increased stats.,,enUS
EX1_573a,Demigod's Favor,Classic,Spell,,,0,Druid,Neutral,,,,,,,Give your other minions +2/+2.,,enUS
EX1_573ae,Demigod's Favor,Classic,Enchantment,,,0,Druid,Neutral,,,,,,,+2/+2.,,enUS
NEW1_014e,Disguised,Classic,Enchantment,,,0,Rogue,,,,,,,,Stealthed until your next turn.,,enUS
EX1_166b,Dispel,Classic,Spell,,Silence,1,Druid,Neutral,,,,,,,<b>Silence</b> a minion.,,enUS
EX1_004e,Elune's Grace,Classic,Enchantment,,,0,,,,,,,,,Increased Health.,,enUS
EX1_055o,Empowered,Classic,Enchantment,,OneTurnEffect,1,,,,,,,,,Mana Addict has increased Attack.,,enUS
KARA_08_04e,Empowered,Classic,Enchantment,,OneTurnEffect,1,,,,,,,,,+8 Attack this turn.,,enUS
EX1_390e,Enraged,Classic,Enchantment,,Enrage,1,,,,,,,,,+3 Attack.,,enUS
EX1_393e,Enraged,Classic,Enchantment,,Enrage,1,,,,,,,,,+3 Attack.,,enUS
EX1_412e,Enraged,Classic,Enchantment,,Enrage,1,,,,,,,,,+1 Attack and <b>Windfury</b>.,,enUS
EX1_414e,Enraged,Classic,Enchantment,,,0,Warrior,,,,,,,,+6 Attack,,enUS
EX1_009e,Enraged,Classic,Enchantment,,Enrage,1,,,,,,,,,+5 Attack.,,enUS
EX1_619e,Equality,Classic,Enchantment,,,0,Paladin,,,,,,,,Health changed to 1.,,enUS
NEW1_037e,Equipped,Classic,Enchantment,,,0,,,,,,,,,Increased Attack.,,enUS
EX1_059e,Experiments!,Classic,Enchantment,,,0,,,,,,,,,Attack and Health have been swapped by Crazed Alchemist.,,enUS
CS2_053e,Far Sight,Classic,Enchantment,,,0,Shaman,,,,,,,Lars Grant-West,One of your cards costs (3) less.,,enUS
NEW1_017e,Full Belly,Classic,Enchantment,,,0,,,,,,,,,+2/+2.  Full of Murloc.,,enUS
CS2_181e,Full Strength,Classic,Enchantment,,,0,,,,,,,,,This minion has +2 Attack.,,enUS
DS1_188e,Gladiator's Longbow enchantment,Classic,Enchantment,,,0,Hunter,,,,,,,,,,enUS
NEW1_024o,Greenskin's Command,Classic,Enchantment,,,0,,,,,,,,,+1/+1.,,enUS
NEW1_038o,Growth,Classic,Enchantment,,,0,,,,,,,,,Gruul is growing...,,enUS
EX1_093e,Hand of Argus,Classic,Enchantment,,,0,,,,,,,,,+1/+1 and <b>Taunt</b>.,,enUS
EX1_043e,Hour of Twilight,Classic,Enchantment,,,0,,,,,,,,,Increased Health.,,enUS
EX1_295o,Ice Block,Classic,Enchantment,,OneTurnEffect,1,Mage,,,,,,,,Your hero is <b>Immune</b> this turn.,,enUS
EX1_623e,Infusion,Classic,Enchantment,,,0,Priest,,,,,,,,+3 Health.,,enUS
CS1_129e,Inner Fire,Classic,Enchantment,,,0,Priest,,,,,,,,This minion's Attack is equal to its Health.,,enUS
EX1_607e,Inner Rage,Classic,Enchantment,,,0,Warrior,,,,,,,,+2 Attack.,,enUS
EX1_366e,Justice Served,Classic,Enchantment,,,0,Paladin,,,,,,,,Has +1/+1.,,enUS
EX1_080o,Keeping Secrets,Classic,Enchantment,,,0,,,,,,,,,Increased stats.,,enUS
NEW1_029t,Kill Millhouse!,Classic,Enchantment,Legendary,,0,,,,,,,,,Spells cost (0) this turn!,,enUS
EX1_160b,Leader of the Pack,Classic,Spell,,,0,Druid,Neutral,,,,,,,Give your minions +1/+1.,,enUS
EX1_160be,Leader of the Pack,Classic,Enchantment,,,0,Druid,,,,,,,,+1/+1.,,enUS
EX1_044e,Level Up!,Classic,Enchantment,,,0,,,,,,,,,Increased Attack and Health.,,enUS
NEW1_012o,Mana Gorged,Classic,Enchantment,,,0,Mage,,,,,,,,Increased attack.,,enUS
EX1_155a,Mark of Nature,Classic,Spell,,,0,Druid,Neutral,,,,,,,+4 Attack.,,enUS
EX1_155ae,Mark of Nature,Classic,Enchantment,,,0,Druid,,,,,,,,This minion has +4 Attack.,,enUS
EX1_155b,Mark of Nature,Classic,Spell,,,0,Druid,Neutral,,,,,,,+4 Health and <b>Taunt</b>.,,enUS
EX1_155be,Mark of Nature,Classic,Enchantment,,,0,Druid,,,,,,,,This minion has +4 Health and <b>Taunt</b>.,,enUS
EX1_tk31,Mind Controlling,Classic,Enchantment,Common,Summoned,1,Priest,Neutral,,,,,,,,,enUS
EX1_166a,Moonfire,Classic,Spell,,,0,Druid,Neutral,,,,,,,Deal 2 damage.,,enUS
EX1_507e,Mrgglaargl!,Classic,Enchantment,,,0,,,,,,,,,Murloc Warleader is granting +2/+1.,,enUS
EX1_103e,Mrghlglhal,Classic,Enchantment,,,0,,,,,,,,,+2 Health.,,enUS
EX1_411e2,Needs Sharpening,Classic,Enchantment,,,0,Warrior,,,,,,,,Decreased Attack.,,enUS
DREAM_05e,Nightmare,Classic,Enchantment,,,0,,,,,,,,,"This minion has +5/+5, but will be destroyed soon.",,enUS
EX1_164a,Nourish,Classic,Spell,,,0,Druid,Neutral,,,,,,,Gain 2 Mana Crystals.,,enUS
EX1_164b,Nourish,Classic,Spell,,,0,Druid,Neutral,,,,,,,Draw 3 cards.,,enUS
EX1_258e,Overloading,Classic,Enchantment,,,0,Shaman,,,,,,,,Increased stats.,,enUS
EX1_612o,Power of the Kirin Tor,Classic,Enchantment,,OneTurnEffect,1,Mage,,,,,,,,Your next Secret costs (0).,,enUS
EX1_316e,Power Overwhelming,Classic,Enchantment,,,0,Warlock,Neutral,,,,,,,"This minion has +4/+4, but will die a horrible death at the end of the turn.",,enUS
EX1_145o,Preparation,Classic,Enchantment,,OneTurnEffect,1,Rogue,,,,,,,,The next spell you cast this turn costs (3) less.,,enUS
CS2_104e,Rampage,Classic,Enchantment,,,0,Warrior,,,,,,,,+3/+3.,,enUS
EX1_274e,Raw Power!,Classic,Enchantment,,,0,Mage,,,,,,,,Increased stats.,,enUS
EX1_379e,Repentance,Classic,Enchantment,,,0,Paladin,,,,,,,,Health reduced to 1.,,enUS
EX1_178a,Rooted,Classic,Spell,,,0,Druid,Neutral,,,,,,,+5 Health and <b>Taunt</b>.,,enUS
EX1_178ae,Rooted,Classic,Enchantment,,,0,Druid,,,,,,,,+5 Health and <b>Taunt</b>.,,enUS
EX1_334e,Shadow Madness,Classic,Enchantment,,,0,Priest,,,,,,,,This minion has switched controllers this turn.,,enUS
EX1_590e,Shadows of M'uru,Classic,Enchantment,Common,,0,,,,,,,,,This minion has consumed Divine Shields and has increased Attack and Health.,,enUS
EX1_573b,Shan'do's Lesson,Classic,Spell,,,0,Druid,Neutral,,,,,,,Summon two 2/2 Treants with <b>Taunt</b>.,,enUS
CS2_221e,Sharp!,Classic,Enchantment,,,0,,,,,,,,,+2 Attack from Spiteful Smith.,,enUS
EX1_158e,Soul of the Forest,Classic,Enchantment,,,0,Druid,,,,,,,,Deathrattle: Summon a 2/2 Treant.,,enUS
EX1_382e,Stand Down!,Classic,Enchantment,,,0,Paladin,,,,,,,,Attack changed to 1.,,enUS
NEW1_007a,Starfall,Classic,Spell,,,0,Druid,,,,,,,,Deal $2 damage to all enemy minions.,,enUS
NEW1_007b,Starfall,Classic,Spell,,,0,Druid,,,,,,,,Deal $5 damage to a minion.,,enUS
EX1_162o,Strength of the Pack,Classic,Enchantment,,,0,,,,,,,,,Dire Wolf Alpha is granting +1 Attack to this minion.,,enUS
EX1_160a,Summon a Panther,Classic,Spell,,,0,Druid,Neutral,,,,,,,Summon a 3/2 Panther.,,enUS
EX1_584e,Teachings of the Kirin Tor,Classic,Enchantment,,,0,,,,,,,,,<b>Spell Damage +1</b>.,,enUS
EX1_046e,Tempered,Classic,Enchantment,,OneTurnEffect,1,,,,,,,,,+2 Attack this turn.,,enUS
EX1_611e,Trapped,Classic,Enchantment,,,0,Hunter,,,,,,,,Will be <b>Frozen</b> again at the start of the next turn.,,enUS
NEW1_018e,Treasure Crazed,Classic,Enchantment,,,0,,,,,,,,,Increased Attack.,,enUS
EX1_409e,Upgraded,Classic,Enchantment,,,0,Warrior,,,,,,,,+1 Attack and +1 Durability.,,enUS
EX1_536e,Upgraded,Classic,Enchantment,,,0,Hunter,,,,,,,,Increased Durability.,,enUS
EX1_178b,Uproot,Classic,Spell,,,0,Druid,Neutral,,,,,,,+5 Attack.,,enUS
EX1_178be,Uprooted,Classic,Enchantment,,,0,Druid,,,,,,,,+5 Attack.,,enUS
EX1_613e,VanCleef's Vengeance,Classic,Enchantment,,,0,Rogue,,,,,,,,Increased stats.,,enUS
EX1_001e,Warded,Classic,Enchantment,,,0,,,,,,,,,Increased Attack.,,enUS
EX1_531e,Well Fed,Classic,Enchantment,,,0,Hunter,,,,,,,,Increased Attack and Health.,,enUS
EX1_603e,Whipped Into Shape,Classic,Enchantment,,,0,Warrior,,,,,,,,+2 Attack.,,enUS
EX1_154a,Wrath,Classic,Spell,,,0,Druid,Neutral,,,,,,,Deal $3 damage to a minion.,,enUS
EX1_154b,Wrath,Classic,Spell,,,0,Druid,Neutral,,,,,,,Deal $1 damage to a minion. Draw a card.,,enUS
NEW1_027e,Yarrr!,Classic,Enchantment,,,0,,,,,,,,,Southsea Captain is granting +1/+1.,,enUS
EX1_621,Circle of Healing,Classic,Spell,Common,,0,Priest,,0,,,True,,Daarken,Restore #4 Health to ALL minions.,It isn't really a circle.,enUS
EX1_596e,Demonfire,Classic,Enchantment,Common,,0,Warlock,Neutral,0,,,,,,This Demon has +2/+2.,,enUS
DREAM_04,Dream,Classic,Spell,,,0,Dream,,0,,,,,,Return a minion to its owner's hand.,,enUS
EX1_607,Inner Rage,Classic,Spell,Common,,0,Warrior,Neutral,0,,,True,,Slawomir Maniak,Deal $1 damage to a minion and give it +2 Attack.,They're only smiling on the outside.,enUS
EX1_323h,Lord Jaraxxus,Classic,Hero,Legendary,,0,Warlock,Neutral,0,15,0,,Demon,,,,enUS
DREAM_05,Nightmare,Classic,Spell,,,0,Dream,,0,,,,,,"Give a minion +5/+5. At the start of your next turn, destroy it.",,enUS
EX1_145,Preparation,Classic,Spell,Epic,,0,Rogue,Neutral,0,,,True,,Clint Langley,The next spell you cast this turn costs (3) less.,"""Be Prepared"" - Rogue Motto",enUS
EX1_345t,Shadow of Nothing,Classic,Minion,Epic,,0,Priest,,0,1,0,,,,Mindgames whiffed! Your opponent had no minions!,,enUS
EX1_144,Shadowstep,Classic,Spell,Common,,0,Rogue,Neutral,0,,,True,,Graven Tung,Return a friendly minion to your hand. It costs (2) less.,Rogue dance troops will sometimes Shadowstep away at the end of a performance.  Crowds love it.,enUS
EX1_332,Silence,Classic,Spell,Common,Silence,1,Priest,Neutral,0,,,True,,Zoltan & Gabor,<b>Silence</b> a minion.,"Reserved for enemy spellcasters, evil liches from beyond the grave, and karaoke nights at the Grim Guzzler.",enUS
